"year","division","region","state","state.code","est_pop","sum_total_homeless","sum_unemploy_rate","mean.homeless","mean.unemploy","homeless_proportion","unemploy_proportion"
2010,"South Atlantic","South","North Carolina","NC",9558915,12191,1329.9,11964.5,935.65,0.0012753539496899,0.000139126668664801
2010,"West North Central","Midwest","North Dakota","ND",674526,799,273,966.9,249.92,0.00118453551086244,0.000404728653899183
2010,"East North Central","Midwest","Ohio","OH",11540983,12569,1220.8,12218.6,807.37,0.00108907534132924,0.000105779551013982
2010,"West South Central","South","Oklahoma","OK",3759603,5229,617.6,4427.4,436.06,0.00139083834117592,0.000164272663895629
2010,"Pacific","West","Oregon","OR",3838048,19492,478.3,16057.6,360.16,0.00507862330017759,0.00012462064049225
2010,"Middle Atlantic","Northeast","Pennsylvania","PA",12712343,14516,702,15222.1,523.41,0.0011418823422244,5.52219209314915e-05
2010,"New England","Northeast","Rhode Island","RI",1053337,1282,57.6,1264.9,44.97,0.00121708437090884,5.46833539503502e-05
2010,"South Atlantic","South","South Carolina","SC",4635943,4473,674,5228,469.11,0.000964852242575027,0.000145385739212065
2010,"West North Central","Midwest","South Dakota","SD",816325,731,411.5,839.2,333.56,0.000895476679018773,0.000504088445165835
2010,"East South Central","South","Tennessee","TN",6356671,10276,1279.7,9710.7,893,0.00161656942761392,0.000201316066223972
2010,"West South Central","South","Texas","TX",25244310,35121,2203.2,32773.3,1161.96,0.00139124420512979,8.72751126887603e-05
2010,"Mountain","West","Utah","UT",2775326,3284,299.3,3237.1,204.88,0.00118328441415531,0.000107843186710318
2010,"New England","Northeast","Vermont","VT",625982,1220,110.3,1238,86.63,0.00194893782888326,0.000176203149611331
2010,"South Atlantic","South","Virginia","VA",8025773,9080,1259.5,8130.1,745.68,0.00113135519781085,0.000156931924189732
2010,"Pacific","West","Washington","WA",6743226,22878,511.5,20838.4,384.88,0.00339273813453679,7.58539013819202e-05
2010,"South Atlantic","South","West Virginia","WV",1854230,2264,597.8,2045.2,470.39,0.00122099200207094,0.000322397976518555
2010,"East North Central","Midwest","Wisconsin","WI",5690263,6333,819.6,5966.8,580.5,0.0011129538300778,0.000144035521732475
2010,"Mountain","West","Wyoming","WY",564513,579,180.6,859.8,127.62,0.00102566282795967,0.000319921773280686
2011,"East South Central","South","Alabama","AL",4799918,5558,864,5106.3,624,0.00115793644808099,0.000180003075052532
2011,"Mountain","West","Arizona","AZ",6467163,10504,190.1,11803.2,149.56,0.00162420523496934,2.93946511012634e-05
2011,"West South Central","South","Arkansas","AR",2939493,3424,794.9,3211.4,633.61,0.00116482672352001,0.00027042078344803
2011,"Pacific","West","California","CA",37676861,125128,871.2,123428.5,498.51,0.00332108346287128,2.31229454067312e-05
2011,"Mountain","West","Colorado","CO",5118360,15116,595.6,13189.1,415.96,0.00295328972561524,0.00011636539829164
2011,"New England","Northeast","Connecticut","CT",3589893,4456,76.2,4354.2,58.62,0.0012412626225907,2.12262593899038e-05
2011,"South Atlantic","South","Delaware","DE",907924,1035,26.6,1001.9,20.7,0.00113996325683648,2.92976064075848e-05
2011,"Pacific","West","Hawaii","HI",1377864,6188,32.4,6497.5,22.91,0.00449100927232296,2.35146574698229e-05
2011,"Mountain","West","Idaho","ID",1584143,2199,486.8,1976.3,352.13,0.00138813225826204,0.000307295490369241
2011,"East North Central","Midwest","Illinois","IL",12860012,14009,991.3,13811.3,890.01,0.00108934579532274,7.70839094084827e-05
2011,"East North Central","Midwest","Indiana","IN",6516480,6196,945.8,6437.2,755.65,0.000950820074641524,0.000145139707326655
2011,"West North Central","Midwest","Iowa","IA",3065223,3134,685.8,3088.7,585.65,0.00102243784546834,0.000223735760823927
2011,"West North Central","Midwest","Kansas","KS",2869503,2308,664.7,2094.9,532.9,0.000804320469433208,0.000231642901227146
2011,"East South Central","South","Kentucky","KY",4369354,6034,1448,5919.3,939.44,0.00138098217722803,0.000331399103849219
2011,"West South Central","South","Louisiana","LA",4575404,9291,655.3,7093.1,328.47,0.00203064035438182,0.000143222325285374
2011,"New England","Northeast","Maine","ME",1328231,2447,159,2528.8,128.84,0.00184230002160769,0.000119708092944676
2011,"South Atlantic","South","Maryland","MD",5843603,10208,220.4,9319.2,175.84,0.00174686747200315,3.77164567818861e-05
2011,"New England","Northeast","Massachusetts","MA",6611923,16664,140.5,17693.5,113.1,0.00252029553278222,2.12494912599557e-05
2011,"East North Central","Midwest","Michigan","MI",9876213,13185,1110.8,15296.9,658.28,0.00133502588492168,0.000112472260369435
2011,"West North Central","Midwest","Minnesota","MN",5348562,7495,761.8,7727.1,651.42,0.00140131123094394,0.000142430806635503
2011,"East South Central","South","Mississippi","MS",2978162,2306,1002.1,2194.7,851.98,0.000774303076864187,0.000336482703090027
2011,"West North Central","Midwest","Missouri","MO",6010717,9192,1241.3,7911,917.75,0.00152926847163159,0.000206514464081407
2011,"Mountain","West","Montana","MT",997821,1768,438.5,1572.9,354.64,0.00177186088486813,0.000439457578062598
2011,"West North Central","Midwest","Nebraska","NE",1842283,3548,452.6,3411.7,381.19,0.00192587132378684,0.000245673438879911
2011,"Mountain","West","Nevada","NV",2718379,9150,218.4,8907.1,156.47,0.00336597656176714,8.03419979333272e-05
2011,"New England","Northeast","New Hampshire","NH",1318473,1469,61,1608.5,52.18,0.00111416767730549,4.62656421481517e-05
2011,"Middle Atlantic","Northeast","New Jersey","NJ",8841243,14137,226.4,12788,175.24,0.00159898331037842,2.56072590697937e-05
2011,"Mountain","West","New Mexico","NM",2077756,3601,290.4,3028.3,241.53,0.00173311976959759,0.000139766170811202
2011,"Middle Atlantic","Northeast","New York","NY",19519529,63445,598.5,71603.2,497.59,0.00325033457518365,3.06616004925119e-05
2011,"South Atlantic","South","North Carolina","NC",9650963,12896,1243.4,11964.5,935.65,0.00133623970996469,0.000128836883946193
2011,"West North Central","Midwest","North Dakota","ND",685476,603,257.9,966.9,249.92,0.000879680689039441,0.0003762349082973
2011,"East North Central","Midwest","Ohio","OH",11544824,13030,1014.8,12218.6,807.37,0.0011286443171416,8.79008636251189e-05
2011,"West South Central","South","Oklahoma","OK",3786274,4625,535.9,4427.4,436.06,0.00122151751299563,0.000141537564370672
2011,"Pacific","West","Oregon","OR",3868031,17254,450.1,16057.6,360.16,0.00446066745587096,0.000116364113938073
2011,"Middle Atlantic","Northeast","Pennsylvania","PA",12744293,15096,617.7,15222.1,523.41,0.0011845302050102,4.84687538178854e-05
2011,"New England","Northeast","Rhode Island","RI",1052451,1070,56.9,1264.9,44.97,0.00101667441049512,5.40642747263293e-05
2011,"South Atlantic","South","South Carolina","SC",4672637,5093,621.7,5228,469.11,0.00108996269130258,0.000133051208557395
2011,"West North Central","Midwest","South Dakota","SD",824398,826,418.9,839.2,333.56,0.00100194323615535,0.000508128355478786
