"Year","state","state.code","Sum_Total_Homeless","Sum_Unemploy_Rate","avg_homeless_07to16","avg_unemploy_07to16","Estimate Date","Estimate"
2012,"Michigan","MI",12592,974.7,15296.9,658.28,"EST_JUL_2012",9887238
2012,"Minnesota","MN",7744,658.3,7727.1,651.42,"EST_JUL_2012",5380285
2012,"Mississippi","MS",2413,949.8,2194.7,851.98,"EST_JUL_2012",2984945
2012,"Missouri","MO",10463,962.9,7911,917.75,"EST_JUL_2012",6025415
2012,"Montana","MT",1833,387.1,1572.9,354.64,"EST_JUL_2012",1005196
2012,"Nebraska","NE",3789,395.2,3411.7,381.19,"EST_JUL_2012",1855725
2012,"Nevada","NV",8497,198.1,8907.1,156.47,"EST_JUL_2012",2752565
2012,"New Hampshire","NH",1496,60.1,1608.5,52.18,"EST_JUL_2012",1321182
2012,"New Jersey","NJ",13025,219.3,12788,175.24,"EST_JUL_2012",8873211
2012,"New Mexico","NM",3245,283.4,3028.3,241.53,"EST_JUL_2012",2083784
2012,"New York","NY",69566,606,71603.2,497.59,"EST_JUL_2012",19602769
2012,"North Carolina","NC",13524,1152.4,11964.5,935.65,"EST_JUL_2012",9746175
2012,"North Dakota","ND",688,244.3,966.9,249.92,"EST_JUL_2012",702087
2012,"Ohio","OH",13977,849.2,12218.6,807.37,"EST_JUL_2012",11550839
2012,"Oklahoma","OK",5032,471.3,4427.4,436.06,"EST_JUL_2012",3817054
2012,"Oregon","OR",15828,425.3,16057.6,360.16,"EST_JUL_2012",3899116
2012,"Pennsylvania","PA",14736,582.4,15222.1,523.41,"EST_JUL_2012",12771854
2012,"Rhode Island","RI",1277,57.6,1264.9,44.97,"EST_JUL_2012",1052901
2012,"South Carolina","SC",4915,564.5,5228,469.11,"EST_JUL_2012",4720760
2012,"South Dakota","SD",859,373.8,839.2,333.56,"EST_JUL_2012",834441
2012,"Tennessee","TN",9426,952.9,9710.7,893,"EST_JUL_2012",6454306
2012,"Texas","TX",34052,1782.3,32773.3,1161.96,"EST_JUL_2012",26071655
2012,"Utah","UT",3527,234.4,3237.1,204.88,"EST_JUL_2012",2855782
2012,"Vermont","VT",1160,94.8,1238,86.63,"EST_JUL_2012",626444
2012,"Virginia","VA",8424,1053.2,8130.1,745.68,"EST_JUL_2012",8192048
2012,"Washington","WA",20504,442.2,20838.4,384.88,"EST_JUL_2012",6895226
2012,"West Virginia","WV",2410,499.2,2045.2,470.39,"EST_JUL_2012",1856560
2012,"Wisconsin","WI",6027,640.9,5966.8,580.5,"EST_JUL_2012",5726177
2012,"Wyoming","WY",1813,145.6,859.8,127.62,"EST_JUL_2012",576765
2013,"Alabama","AL",4689,644.9,5106.3,624,"EST_JUL_2013",4829479
2013,"Arizona","AZ",10562,168.2,11803.2,149.56,"EST_JUL_2013",6624617
2013,"Arkansas","AR",3812,724.2,3211.4,633.61,"EST_JUL_2013",2958663
2013,"California","CA",118552,0,123428.5,498.51,"EST_JUL_2013",38335203
2013,"Colorado","CO",9754,530.8,13189.1,415.96,"EST_JUL_2013",5267603
2013,"Connecticut","CT",4448,67.9,4354.2,58.62,"EST_JUL_2013",3596003
2013,"Delaware","DE",946,24.6,1001.9,20.7,"EST_JUL_2013",925395
2013,"Hawaii","HI",6335,23,6497.5,22.91,"EST_JUL_2013",1406481
2013,"Idaho","ID",1781,388.4,1976.3,352.13,"EST_JUL_2013",1612011
2013,"Illinois","IL",13425,1060.7,13811.3,890.01,"EST_JUL_2013",12879505
2013,"Indiana","IN",6096,902.2,6437.2,755.65,"EST_JUL_2013",6569102
2013,"Iowa","IA",3084,607.5,3088.7,585.65,"EST_JUL_2013",3091930
2013,"Kansas","KS",2331,571.6,2094.9,532.9,"EST_JUL_2013",2892821
2013,"Kentucky","KY",5245,1274.3,5919.3,939.44,"EST_JUL_2013",4400477
2013,"Louisiana","LA",5226,581.1,7093.1,328.47,"EST_JUL_2013",4626402
2013,"Maine","ME",3016,144.3,2528.8,128.84,"EST_JUL_2013",1329076
2013,"Maryland","MD",8205,208.6,9319.2,175.84,"EST_JUL_2013",5931129
2013,"Massachusetts","MA",19029,127.4,17693.5,113.1,"EST_JUL_2013",6706786
